reg_param,rank,alpha,Precision At K,Mean Average Precision,ncdg At K
0.01,5,1,0.00042452043369474565,0.008732867347076892,0.030965629780630208
0.01,5,10,0.000405010438413361,0.007956916694436834,0.029145008013221774
0.01,5,15,0.00040200166805671393,0.009021005782719414,0.0299396303280451
0.05,5,1,0.00042785654712260206,0.008682624791102236,0.0310494764556366
0.05,5,10,0.0004036697247706416,0.009575834340443878,0.030596954828293256
0.05,5,15,0.0004096283783783784,0.0067350987035901914,0.027975364366599247
0.1,5,1,0.00043590814196242146,0.008217284175145428,0.030452620207416646
0.1,5,10,0.00040334029227557416,0.008383706354120838,0.02921540125521639
0.1,5,15,0.0004103204327923422,0.007078725262428351,0.028726881927820178
0.01,10,1,0.0004188741721854305,0.006740302373259247,0.029234148886817916
0.01,10,10,0.00040699126092384524,0.005912039760115329,0.027515467858432452
0.01,10,15,0.0004253699788583511,0.007443329501582141,0.029765525520534394
0.05,10,1,0.00042198731501057093,0.007031324274589562,0.029073435444166636
0.05,10,10,0.00039586776859504145,0.005824908460366034,0.026655603636972676
0.05,10,15,0.0004016528925619835,0.006006355304301299,0.0273939263542263
0.1,10,1,0.0004292275574112735,0.0072609510501714805,0.02963999704560074
0.1,10,10,0.00041169102296450936,0.006656243044597426,0.02858089076639181
0.1,10,15,0.0003994932432432432,0.006404146473939799,0.027420288359361777
0.01,20,1,0.00037578288100208776,0.00725814939383309,0.027383462875173088
0.01,20,10,0.0004160676532769557,0.005827178473719852,0.027669035058754815
0.01,20,15,0.000426446280991736,0.0063687823813663134,0.028834000155917305
0.05,20,1,0.0003910472972972965,0.005819168339213273,0.026422561672607765
0.05,20,10,0.0003956953642384105,0.00581840264389593,0.026793445528005826
0.05,20,15,0.00040282979608822307,0.005125322850255141,0.02654406768482566
0.1,20,1,0.00039155629139072854,0.005687318660143648,0.02644111615099756
0.1,20,10,0.0004180743243243243,0.0064078490311833824,0.028389971119006787
0.1,20,15,0.0004130794701986755,0.006164070842722684,0.02788732626765666
0.01,25,1,0.00037768595041322306,0.006893598126344606,0.02658247140193065
0.01,25,10,0.0004094881398252184,0.005033595343657721,0.026724092875988835
0.01,25,15,0.00040793918918918923,0.007254151354698658,0.028955730252879473
0.05,25,1,0.0003687057844361214,0.004003989341659154,0.023361124566023062
0.05,25,10,0.00043966942148760335,0.005963727708499799,0.029040582615218583
0.05,25,15,0.000456953642384106,0.006188292259873386,0.0298813872912807
0.1,25,1,0.000371900826446281,0.006736550076231309,0.02622611483526588
0.1,25,10,0.00041586638830897756,0.006870569594987855,0.029152159446673494
0.1,25,15,0.0004504132231404954,0.006225767736570061,0.0299417729746326
0.01,50,1,0.0003774834437086092,0.005530649753915641,0.02594448368639763
0.01,50,10,0.00043861839367457346,0.006455476245536015,0.0300685813035761
0.01,50,15,0.0004560810810810811,0.0063636486057068375,0.03067413249851742
0.05,50,1,0.00037753378378378445,0.005623488106943449,0.02528879631858843
0.05,50,10,0.0004456659619450318,0.007460222498866158,0.031017053744107525
0.05,50,15,0.0004660596026490066,0.007521931068614837,0.03205191780817299
0.1,50,1,0.00038990066225165563,0.005958804134440628,0.027014261586677836
0.1,50,10,0.00045619834710743806,0.007080230616942648,0.03103822947831057
